,sitc4,exporter,value,rca
40026,699X,Areas NES,682,98.02203898293877
40071,69XX,Areas NES,742,119.36745496350038
40120,6XXX,Areas NES,420,43.673896852029316
40177,711,Areas NES,1410,0.9060336135679695
40264,7111,Areas NES,11920,12.760246391135748
40364,7119,Areas NES,280,0.2133756428434733
40425,711X,Areas NES,96,161.67304535115397
40525,7129,Areas NES,1542,0.753114691986801
40597,7131,Areas NES,834,0.5389207574219814
40652,7132,Areas NES,18282,0.549844996901221
40837,7139,Areas NES,29752,1.21052704446164
40941,713X,Areas NES,432,153.5425393200271
40962,7144,Areas NES,1262,0.0893692421772289
41047,7148,Areas NES,870,0.16992197487660135
41129,7149,Areas NES,6526,0.24345880952513374
41235,714X,Areas NES,112,447.3367212685506
41240,7161,Areas NES,1056,0.19689822093711182
41313,7162,Areas NES,11870,0.620847505195418
41455,7169,Areas NES,1166,0.1786974877712226
41529,716X,Areas NES,76,42.82515059402978
41581,7188,Areas NES,5208,1.583533116388155
41666,71XX,Areas NES,122,49.04721461156819
41795,7212,Areas NES,2758,0.46601910516779455
41980,721X,Areas NES,226,46.331303274242735
42064,7224,Areas NES,1094,0.16127128199038082
42177,7233,Areas NES,302,0.42209721223902846
42223,7234,Areas NES,4340,0.2669597020514218
42341,7239,Areas NES,1426,0.3498919790277755
42446,723X,Areas NES,428,251.36363410194792
42468,7243,Areas NES,2424,0.6103425940895362
42544,7244,Areas NES,1918,0.47471555630158707
42740,7247,Areas NES,2704,0.7518446706407673
42864,724A,Areas NES,292,104.03166866431127
42877,724X,Areas NES,104,17.910994492272923
42899,7251,Areas NES,386,0.2933913199938156
43010,7259,Areas NES,214,0.08391735502720395
43204,7267,Areas NES,5164,2.2332548958693277
43433,7272,Areas NES,708,0.15156526370063203
43532,7281,Areas NES,2224,0.25879330052190314
43607,7283,Areas NES,2442,0.49490315750286945
43694,7284,Areas NES,49798,0.8679603855561772
43825,728X,Areas NES,320,130.00209804152288
43855,72XX,Areas NES,634,162.66700497343652
43888,730,Areas NES,168,0.1276223530184567
43956,7361,Areas NES,2602,0.20343891815124862
44039,7362,Areas NES,2708,0.50377385343229
44115,7367,Areas NES,1950,0.3608717597177839
44236,7369,Areas NES,1274,0.22443054191129794
44305,736A,Areas NES,362,118.2973245042969
44319,736X,Areas NES,46,20.182196502037556
44395,7372,Areas NES,428,0.19998998214716038
44456,7373,Areas NES,5272,0.937426783619851
44536,737X,Areas NES,34,39.60161676513486
44558,73XX,Areas NES,112,179.6228988478334
44626,7411,Areas NES,582,1.4707583654765866
44724,7413,Areas NES,674,0.13956919443901533
44800,7414,Areas NES,756,0.10158113128271747
44883,7415,Areas NES,6376,0.4755426260342025
44959,7416,Areas NES,4884,0.3601318368171788
45058,741X,Areas NES,182,18.0916074099384
45158,7422,Areas NES,1000,0.3368349516133442
45233,7423,Areas NES,3494,1.7752655497648027
45289,7428,Areas NES,12484,1.642560022948642
45376,7429,Areas NES,3722,0.6743815254766552
45456,742A,Areas NES,456,334.5243994326041
45489,7431,Areas NES,12482,0.8977695103180832
45578,7434,Areas NES,2386,0.6203007006238733
45693,7436,Areas NES,40556,3.3720098698509036
45788,7439,Areas NES,5740,0.6440103074866714
45881,743X,Areas NES,332,72.60223105907137
45912,7441,Areas NES,1242,0.17562181406695176
45996,7442,Areas NES,9918,0.7356288017663836
46092,7449,Areas NES,6996,0.49816968827918645
46203,744X,Areas NES,308,102.54740711929166
46226,7451,Areas NES,584,0.1710434255090549
46281,7452,Areas NES,7572,0.4088456788610847
46385,745X,Areas NES,50,11.06639409416626
46401,7491,Areas NES,24748,1.941521758191716
46476,7492,Areas NES,11038,0.4561882450373352
46577,7493,Areas NES,17380,1.0878054851332541
46669,7499,Areas NES,17742,1.3523243288828424
46787,749X,Areas NES,116,20.852681763368434
46826,74XX,Areas NES,596,112.73866392807024
46862,751,Areas NES,788,3.1934425101603954
46951,7512,Areas NES,1048,0.28426767597119257
47007,7518,Areas NES,530,0.05640304769428189
47096,752,Areas NES,266,1.1375953580003682
47222,7522,Areas NES,3526,0.1547891586543292
47307,7523,Areas NES,9062,0.18653641394475254
47382,7524,Areas NES,13056,0.2039119848792683
47470,7525,Areas NES,22616,0.3933771325427089
47556,7528,Areas NES,5572,0.28754445134319184
47656,752X,Areas NES,392,56.11673920335361
47688,7591,Areas NES,664,0.07302096424105026
47760,7599,Areas NES,31022,0.2248965262286275
47885,759X,Areas NES,230,153.79377449917007
47908,75XX,Areas NES,216,97.26571659301067
47936,7611,Areas NES,71594,2.817790467668125
48070,7621,Areas NES,2490,0.29101500709561956
48124,7622,Areas NES,3156,0.682271148475486
48173,7628,Areas NES,8664,1.0125484980908268
48248,7631,Areas NES,1050,4.163821391877542
48280,7638,Areas NES,3284,0.11647732488640503
48371,7641,Areas NES,16058,0.2886388583467303
48468,7642,Areas NES,21136,2.179806118951713
48534,7643,Areas NES,13748,0.21181341732815465
48647,7648,Areas NES,4470,0.666657437939075
48735,7649,Areas NES,103976,1.2878269031013123
48878,764X,Areas NES,524,96.01794086892633
48910,76XX,Areas NES,346,123.06011463322405
48940,7711,Areas NES,12472,1.5910645197938165
49044,7712,Areas NES,33708,1.1162855095294544
49152,771X,Areas NES,64,45.50960212476776
49175,7721,Areas NES,38384,0.5806530300067826
49291,7722,Areas NES,30442,1.5718946375687755
49374,7723,Areas NES,8976,1.3197366370459536
49445,772X,Areas NES,194,68.16182635391627
49474,7731,Areas NES,65478,1.8153136401417864
49584,7732,Areas NES,5436,1.474260890874119
49685,7741,Areas NES,7812,1.2188720039360055
49754,7742,Areas NES,3426,0.4694661853801011
49835,7751,Areas NES,608,0.13317696767729198
